local_path,size_bytes,type,description,reason,sha256
outputs/v1r/sequential_success_demos_2i/manifest.json,102099,generated_runtime_manifest,V1-R.2I candidate and accepted sequential-demo capture records,Raw runtime output remains under gitignored outputs; upload-safe summary is tracked,87b4ac57bd02c8ab77ef81e5e22cfafb777f3682b7c4c8c0092083c15ac1786f
outputs/v1r/sequential_success_demos_2i/verification.json,27492,generated_runtime_verification,"V1-R.2I per-demo actual-command, S0, and S1 replay records",Raw runtime output remains under gitignored outputs; upload-safe summary is tracked,8227453583f7a424da61fc8a4cdb98a058dfd5af61a73090ec5928b6eed94679
outputs/v1r/sequential_success_demos_2i/layout_1_demo_002.npz,179815,sequential_demo_state_bundle,"Layout 1 demo_2: Continuous transitions, issued commands, measured EEF poses, gripper commands, and controller targets",Generated runtime artifact remains local and is indexed by filename and hash,0894ad5fe2ea77fd63cf8560f49e0e810590d89562049ce41fbd008e1c816835
outputs/v1r/sequential_success_demos_2i/layout_1_demo_002.xml,87250,sequential_demo_runtime_xml,Layout 1 demo_2: Migrated formal-runtime MuJoCo model XML for exact initial-state replay,Generated runtime artifact remains local and is indexed by filename and hash,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a
outputs/v1r/sequential_success_demos_2i/layout_1_demo_003.npz,164168,sequential_demo_state_bundle,"Layout 1 demo_3: Continuous transitions, issued commands, measured EEF poses, gripper commands, and controller targets",Generated runtime artifact remains local and is indexed by filename and hash,ae55f752bacf44d07e220d603ad349c2b633edf4139eba2a6ca5d213ff8c056d
outputs/v1r/sequential_success_demos_2i/layout_1_demo_003.xml,87250,sequential_demo_runtime_xml,Layout 1 demo_3: Migrated formal-runtime MuJoCo model XML for exact initial-state replay,Generated runtime artifact remains local and is indexed by filename and hash,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a
outputs/v1r/sequential_success_demos_2i/layout_1_demo_018.npz,171787,sequential_demo_state_bundle,"Layout 1 demo_18: Continuous transitions, issued commands, measured EEF poses, gripper commands, and controller targets",Generated runtime artifact remains local and is indexed by filename and hash,3fd5dfe09c6cbbd93a15388cfaa99e530194763557003488351e3d6f8c586ccc
outputs/v1r/sequential_success_demos_2i/layout_1_demo_018.xml,87250,sequential_demo_runtime_xml,Layout 1 demo_18: Migrated formal-runtime MuJoCo model XML for exact initial-state replay,Generated runtime artifact remains local and is indexed by filename and hash,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a
outputs/v1r/sequential_success_demos_2i/layout_1_demo_021.npz,167773,sequential_demo_state_bundle,"Layout 1 demo_21: Continuous transitions, issued commands, measured EEF poses, gripper commands, and controller targets",Generated runtime artifact remains local and is indexed by filename and hash,7612714ca8d00e0a0a4f265405e48285e15b1e8e66a1ec38e9260db3683b1840
outputs/v1r/sequential_success_demos_2i/layout_1_demo_021.xml,87250,sequential_demo_runtime_xml,Layout 1 demo_21: Migrated formal-runtime MuJoCo model XML for exact initial-state replay,Generated runtime artifact remains local and is indexed by filename and hash,2a2163d7f28aba5b826a505a5129be8aff47f78d89bc33375144c9e37d86a02a
